Kiosk Spiez;139;20-35;288
Kiosk Sursee;137;20-35;346
Kiosk Grenchen;136;55+;452
Kiosk Wallisellen;135;20-35;489
Kiosk Meiringen;135;55+;260
Kiosk Oftringen;134;20-35;341
Kiosk Derendingen;134;55+;510
Kiosk Biel/Bienne;133;55+;513
Kiosk Burgdorf;133;55+;543
Kiosk Oensingen;133;55+;226
Kiosk Muri bei Bern;132;20-35;259
Kiosk Rheinfelden;132;55+;482
Kiosk Trimbach;132;55+;404
Kiosk Zofingen;131;35-55;518
Kiosk Zuerich Hauptbahnhof;131;20-35;477
Kiosk Dietikon;130;20-35;264
Kiosk Ebikon;129;35-55;295
Kiosk Opfikon;129;55+;537
Kiosk Worb;127;55+;482
Kiosk Horw;125;55+;457
Kiosk Langnau i.E.;124;55+;326
Kiosk Belp;124;35-55;366
Kiosk Zollikofen;124;20-35;221
Kiosk Wetzikon;123;35-55;484
Kiosk Winterthur;121;55+;323
Kiosk Thalwil;121;20-35;219
Kiosk Bern;121;20-35;276
Kiosk Zuchwil;121;20-35;509
Kiosk Interlaken;120;35-55;195
Kiosk Koeniz;119;20-35;508
Kiosk Volketswil;119;20-35;357
Kiosk Regensdorf;119;35-55;292
Kiosk Langenthal;119;20-35;416
Kiosk Olten;117;20-35;546
Kiosk Kriens;117;35-55;440
Kiosk Lenzburg;115;55+;283
Kiosk Baden;115;55+;228
Kiosk Konolfingen;114;20-35;504
Kiosk Luzern;113;55+;404
Kiosk Horgen;110;20-35;249
Kiosk Sempach;110;35-55;286
Kiosk Solothurn;107;20-35;299
Kiosk Moehlin;106;55+;438
Kiosk Adligenswil;106;55+;429
Kiosk Wettingen;105;35-55;421
Kiosk Zuerich Oerlikon;105;55+;541
Kiosk Duebendorf;104;55+;458
Kiosk Zuerich Altstetten;102;20-35;341
Kiosk Aarau;101;35-55;200
Kiosk Adliswil;101;55+;160
Kiosk Wohlen;99;35-55;157
Kiosk Willisau;99;20-35;346
Kiosk Waedenswil;97;20-35;278
Kiosk Thun;97;20-35;376
Kiosk Rueti;97;35-55;156
Kiosk Kloten;96;20-35;337
Kiosk Reiden;94;20-35;280
Kiosk Malters;94;20-35;301
Kiosk Ittigen;93;55+;383
Kiosk Wattenwil;93;35-55;279
Kiosk Muensingen;92;55+;296
Kiosk Root;90;35-55;196
Kiosk Buelach;89;20-35;299
Kiosk Emmen;89;55+;343
Kiosk Brugg;86;55+;457
Kiosk Hochdorf;86;20-35;522
Kiosk Balsthal;85;20-35;313
Kiosk Schuepfheim;85;20-35;316
Kiosk Rothenburg;84;55+;402
Kiosk Dulliken;83;20-35;476
Kiosk Illnau-Effretikon;81;55+;214
Kiosk Steffisburg;81;55+;379
Kiosk Uster;81;20-35;233
Kiosk Langendorf;80;20-35;203
Kiosk Frutigen;80;20-35;487
