StandortName;ProduzentName;ProduktBezeichnung;Datum;GelieferteMenge;VerkaufteMenge;Umsatz;EinkaufsMenge;EinkaufsBetrag
;Gemuesegarten Ryser;Gurken;2026-08-07;;;;72.0;115.2
Kiosk Zollikofen;;Zucchetti;2026-08-08;15.0;9.8;16.66;;
Kiosk Opfikon;;Karotten;2026-08-07;10.8;9.0;16.2;;
Kiosk Wettingen;;Gurken;2026-08-07;12.7;10.1;25.25;;
Kiosk Burgdorf;;Kopfsalat;2026-08-07;14.1;11.3;16.95;;
Kiosk Willisau;;Tomaten;2026-08-04;28.9;18.2;54.6;;
Kiosk Olten;;Zucchetti;2026-08-07;9.2;7.0;11.9;;
Kiosk Adliswil;;Kartoffeln;2026-08-05;9.7;8.6;12.04;;
Kiosk Langnau i.E.;;Kopfsalat;2026-08-08;27.2;19.6;29.4;;
Kiosk Thalwil;;Broccoli;2026-08-08;25.8;15.9;47.7;;
Kiosk Trimbach;;Peperoni;2026-08-07;29.3;19.6;78.4;;
;Gemuesegarten Ryser;Randen;2026-08-08;;;;59.9;71.88
Kiosk Horw;;Zucchetti;2026-08-06;17.6;9.9;16.83;;
Kiosk Steffisburg;;Broccoli;2026-08-04;26.7;15.4;46.2;;
Kiosk Regensdorf;;Gurken;2026-08-06;15.7;14.7;36.75;;
Kiosk Reiden;;Zucchetti;2026-08-08;16.4;15.0;25.5;;
;Biohof Pfister;Karotten;2026-08-05;;;;81.2;73.08
Kiosk Lenzburg;;Zwiebeln;2026-08-04;21.3;17.5;31.5;;
;Gemuesegarten Ryser;Zucchetti;2026-08-06;;;;78.6;86.46
;Biohof Pfister;Broccoli;2026-08-08;;;;69.6;132.24
Kiosk Zuerich Hauptbahnhof;;Kartoffeln;2026-08-04;22.0;16.2;22.68;;
Kiosk Waedenswil;;Broccoli;2026-08-08;18.7;15.3;45.9;;
Kiosk Brugg;;Kopfsalat;2026-08-07;8.6;6.6;9.9;;
Kiosk Frutigen;;Gurken;2026-08-05;16.0;9.2;23.0;;
Kiosk Illnau-Effretikon;;Kartoffeln;2026-08-04;25.8;22.8;31.92;;
Kiosk Oftringen;;Kopfsalat;2026-08-04;19.1;11.8;17.7;;
Kiosk Rothenburg;;Randen;2026-08-05;28.3;24.5;44.1;;
Kiosk Zuerich Altstetten;;Kartoffeln;2026-08-07;10.0;6.3;8.82;;
Kiosk Rheinfelden;;Tomaten;2026-08-07;16.1;14.0;42.0;;
Kiosk Moehlin;;Zwiebeln;2026-08-08;15.6;14.1;25.38;;
Kiosk Uster;;Zwiebeln;2026-08-04;9.3;6.9;12.42;;
Kiosk Frutigen;;Randen;2026-08-06;22.7;15.4;27.72;;
Kiosk Dulliken;;Karotten;2026-08-08;23.2;18.8;33.84;;
Kiosk Moehlin;;Peperoni;2026-08-06;22.1;16.1;64.4;;
;Gemuesegarten Ryser;Zucchetti;2026-08-05;;;;45.9;50.49
Kiosk Oensingen;;Peperoni;2026-08-06;12.4;8.7;34.8;;
Kiosk Dietikon;;Peperoni;2026-08-04;17.0;15.3;61.2;;
Kiosk Luzern;;Zwiebeln;2026-08-04;27.6;24.7;44.46;;
Kiosk Baden;;Kopfsalat;2026-08-07;29.6;19.3;28.95;;
Kiosk Buelach;;Kartoffeln;2026-08-07;17.2;11.8;16.52;;
Kiosk Muensingen;;Tomaten;2026-08-06;9.6;6.2;18.6;;
Kiosk Luzern;;Kopfsalat;2026-08-07;27.5;21.5;32.25;;
Kiosk Rothenburg;;Karotten;2026-08-07;17.9;14.1;25.38;;
Kiosk Emmen;;Gurken;2026-08-07;23.3;19.4;48.5;;
Kiosk Thun;;Kopfsalat;2026-08-06;26.6;21.1;31.65;;
;Biohof Pfister;Zwiebeln;2026-08-07;;;;45.8;41.22
Kiosk Zofingen;;Zwiebeln;2026-08-04;9.8;8.0;14.4;;
Kiosk Thalwil;;Peperoni;2026-08-07;27.9;17.5;70.0;;
Kiosk Moehlin;;Broccoli;2026-08-08;22.1;13.8;41.4;;
Kiosk Dulliken;;Tomaten;2026-08-07;25.2;16.5;49.5;;
Kiosk Derendingen;;Tomaten;2026-08-06;18.1;14.8;44.4;;
Kiosk Kloten;;Peperoni;2026-08-04;17.6;10.4;41.6;;
Kiosk Trimbach;;Kopfsalat;2026-08-04;11.1;10.4;15.6;;
;Gemuesegarten Ryser;Randen;2026-08-07;;;;109.2;131.04
Kiosk Emmen;;Karotten;2026-08-07;17.1;10.8;19.44;;
Kiosk Meiringen;;Peperoni;2026-08-05;21.5;14.4;57.6;;
Kiosk Oftringen;;Kartoffeln;2026-08-08;15.4;14.2;19.88;;
Kiosk Biel/Bienne;;Zwiebeln;2026-08-07;17.0;15.2;27.36;;
Kiosk Oftringen;;Peperoni;2026-08-04;26.2;14.7;58.8;;
Kiosk Duebendorf;;Randen;2026-08-06;16.4;12.9;23.22;;
Kiosk Burgdorf;;Gurken;2026-08-06;11.6;8.0;20.0;;
Kiosk Wattenwil;;Broccoli;2026-08-08;15.3;8.6;25.8;;
Kiosk Luzern;;Zucchetti;2026-08-08;26.7;15.5;26.35;;
Kiosk Belp;;Tomaten;2026-08-08;27.5;19.6;58.8;;
Kiosk Dietikon;;Kopfsalat;2026-08-07;27.1;22.7;34.05;;
Kiosk Zofingen;;Kopfsalat;2026-08-05;23.2;16.0;24.0;;
Kiosk Ebikon;;Peperoni;2026-08-04;14.1;10.3;41.2;;
Kiosk Zuerich Hauptbahnhof;;Broccoli;2026-08-07;8.6;7.8;23.4;;
Kiosk Meiringen;;Zwiebeln;2026-08-05;22.5;14.9;26.82;;
Kiosk Wetzikon;;Randen;2026-08-04;21.4;17.4;31.32;;
Kiosk Root;;Broccoli;2026-08-05;14.7;11.5;34.5;;
Kiosk Winterthur;;Gurken;2026-08-04;10.8;7.8;19.5;;
Kiosk Wettingen;;Tomaten;2026-08-07;12.4;7.5;22.5;;
Kiosk Luzern;;Kartoffeln;2026-08-04;25.1;16.0;22.4;;
Kiosk Adligenswil;;Zwiebeln;2026-08-06;21.3;11.9;21.42;;
Kiosk Baden;;Kartoffeln;2026-08-08;25.3;19.1;26.74;;
Kiosk Worb;;Tomaten;2026-08-08;12.7;8.3;24.9;;
Kiosk Zuchwil;;Tomaten;2026-08-05;17.8;13.2;39.6;;
